t,x,y,z
0,0.242578,0.013470,0.383139
1,0.414653,0.067769,0.993127
2,0.484308,0.765338,0.031834
3,0.030935,0.932640,0.887880
4,0.591330,0.478779,0.833354
5,0.186335,0.735653,0.115053
6,0.698659,0.355604,0.638300
7,0.908211,0.294000,0.264972
8,0.377494,0.541620,0.009282
9,0.999465,0.012902,0.842497
10,0.852470,0.467011,0.053607
11,0.976748,0.196755,0.856973
12,0.144214,0.800662,0.729398
13,0.985791,0.183406,0.499760
14,0.469862,0.970991,0.450770
15,0.095792,0.974082,0.390235
16,0.680670,0.026669,0.231241
17,0.468739,0.097960,0.415410
18,0.796294,0.316403,0.778534
19,0.828493,0.487140,0.369049
20,0.602845,0.024264,0.811112
21,0.355793,0.806109,0.274877
22,0.859817,0.951019,0.777276
23,0.680837,0.835185,0.961130
24,0.705425,0.073751,0.536857
25,0.957186,0.418065,0.418777
26,0.381617,0.836927,0.240062
27,0.726211,0.431613,0.116691
28,0.223913,0.309588,0.244801
29,0.377034,0.807539,0.314736
30,0.775230,0.283334,0.996349
31,0.632867,0.600911,0.509480
32,0.834129,0.199443,0.035981
33,0.730005,0.197911,0.293197
34,0.770347,0.214750,0.309220
35,0.060663,0.557590,0.416917
36,0.115945,0.685545,0.959951
37,0.893088,0.136134,0.997800
38,0.027973,0.148065,0.522975
39,0.641339,0.989146,0.578133
40,0.680530,0.674978,0.362046
41,0.914710,0.530369,0.917611
42,0.283109,0.208989,0.471816
43,0.806578,0.161689,0.514298
44,0.813117,0.064168,0.479624
45,0.043310,0.902915,0.294501
46,0.685730,0.066033,0.821220
47,0.242774,0.310257,0.492554
48,0.356179,0.307991,0.396982
49,0.070916,0.886517,0.684032
50,0.528227,0.902819,0.686503
51,0.063316,0.152140,0.023765
52,0.418943,0.174793,0.752751
53,0.490316,0.747744,0.329275
54,0.117577,0.118128,0.374985
55,0.376970,0.728745,0.014481
56,0.382013,0.490500,0.827577
57,0.079665,0.923967,0.118042
58,0.938252,0.195973,0.726118
59,0.857863,0.103638,0.838910
60,0.565110,0.810401,0.406969
61,0.934977,0.160874,0.816055
62,0.431740,0.248101,0.830523
63,0.596219,0.645779,0.608169
64,0.495466,0.304382,0.755627
65,0.828610,0.455551,0.438145
66,0.897431,0.118944,0.098993
67,0.780746,0.997533,0.539817
68,0.698849,0.561277,0.384786
69,0.092576,0.929386,0.192648
70,0.841255,0.969377,0.318446
71,0.128000,0.288386,0.909935
72,0.279053,0.041813,0.755507
73,0.809000,0.866245,0.973542
74,0.313588,0.467796,0.243043
75,0.823443,0.599616,0.743698
76,0.327666,0.083177,0.951141
77,0.823081,0.527120,0.310802
78,0.646964,0.528517,0.786098
79,0.952491,0.515310,0.819254
80,0.207083,0.441171,0.757170
81,0.750571,0.841331,0.249552
82,0.217529,0.001762,0.607765
83,0.712493,0.871079,0.223777
84,0.014975,0.680696,0.452619
85,0.175361,0.288400,0.131390
86,0.272306,0.650010,0.719640
87,0.990750,0.535381,0.148002
88,0.469616,0.838895,0.313227
89,0.398227,0.005280,0.739131
90,0.580106,0.833602,0.347811
91,0.666053,0.354997,0.440056
92,0.014917,0.711650,0.706767
93,0.635577,0.146365,0.957588
94,0.183773,0.679720,0.048127
95,0.868372,0.730391,0.687771
96,0.373259,0.371670,0.663645
97,0.885499,0.586742,0.364694
98,0.406085,0.074557,0.075646
99,0.387668,0.531298,0.530090
